,index,country,created_at,paid,installs
0,36357,GB,2019-02-08 09:00:00+00:00,False,592
1,10959,US,2019-02-18 21:00:00+00:00,False,644
2,14261,US,2019-04-28 16:00:00+00:00,False,344
3,48409,TR,2019-04-20 14:00:00+00:00,False,417
4,33399,IT,2019-06-06 15:00:00+00:00,False,924
5,50404,TR,2019-06-01 04:00:00+00:00,True,325
6,157,DE,2019-01-04 17:00:00+00:00,False,728
7,1053,DE,2019-01-23 09:00:00+00:00,False,488
8,8738,US,2019-01-03 15:00:00+00:00,True,610
9,20018,RU,2019-02-27 18:00:00+00:00,True,281
10,13754,US,2019-04-18 03:00:00+00:00,True,134
11,5083,DE,2019-04-17 08:00:00+00:00,False,484
12,16446,US,2019-06-13 05:00:00+00:00,True,232
13,39776,GB,2019-04-20 15:00:00+00:00,True,911
14,29281,IT,2019-03-12 20:00:00+00:00,False,231
15,7772,DE,2019-06-12 09:00:00+00:00,True,204
16,4124,DE,2019-03-28 09:00:00+00:00,True,133
17,28229,IT,2019-02-18 22:00:00+00:00,False,570
18,6508,DE,2019-05-17 01:00:00+00:00,True,769
19,15520,US,2019-05-24 22:00:00+00:00,True,982
20,3591,DE,2019-03-17 06:00:00+00:00,False,352
21,14803,US,2019-05-09 23:00:00+00:00,False,624
22,4595,DE,2019-04-07 04:00:00+00:00,False,349
23,50535,TR,2019-06-03 21:00:00+00:00,False,778
24,51560,TR,2019-06-25 06:00:00+00:00,True,499
25,6350,DE,2019-05-13 18:00:00+00:00,True,797
26,38030,GB,2019-03-15 06:00:00+00:00,True,10
27,16585,US,2019-06-16 02:00:00+00:00,False,828
28,19656,RU,2019-02-20 05:00:00+00:00,True,184
29,22666,RU,2019-04-23 22:00:00+00:00,True,675
30,2095,DE,2019-02-14 02:00:00+00:00,False,307
31,15926,US,2019-06-02 09:00:00+00:00,True,247
32,30720,IT,2019-04-11 20:00:00+00:00,True,511
33,30980,IT,2019-04-17 06:00:00+00:00,True,817
34,17800,RU,2019-01-12 13:00:00+00:00,True,592
35,37128,GB,2019-02-24 11:00:00+00:00,True,771
36,36576,GB,2019-02-12 23:00:00+00:00,True,526
37,11196,US,2019-02-23 20:00:00+00:00,True,591
38,17370,RU,2019-01-03 14:00:00+00:00,True,847
39,5598,DE,2019-04-28 02:00:00+00:00,True,341
40,12782,US,2019-03-28 21:00:00+00:00,True,703
41,8393,DE,2019-06-25 07:00:00+00:00,False,247
42,21476,RU,2019-03-30 03:00:00+00:00,True,406
43,47858,TR,2019-04-09 03:00:00+00:00,True,130
44,35254,GB,2019-01-16 10:00:00+00:00,True,498
45,33121,IT,2019-05-31 20:00:00+00:00,False,467
46,15818,US,2019-05-31 03:00:00+00:00,True,821
47,12884,US,2019-03-31 00:00:00+00:00,True,400
48,45670,TR,2019-02-22 13:00:00+00:00,True,900
49,965,DE,2019-01-21 13:00:00+00:00,False,806
50,23510,RU,2019-05-11 12:00:00+00:00,True,468
51,26648,IT,2019-01-17 00:00:00+00:00,True,975
52,41898,GB,2019-06-03 20:00:00+00:00,True,370
53,26256,IT,2019-01-08 20:00:00+00:00,True,918
54,44636,TR,2019-02-01 00:00:00+00:00,True,772
55,40637,GB,2019-05-08 13:00:00+00:00,False,737
56,23913,RU,2019-05-19 21:00:00+00:00,False,483
57,28884,IT,2019-03-04 14:00:00+00:00,True,92
58,12573,US,2019-03-24 12:00:00+00:00,False,276
59,13660,US,2019-04-16 04:00:00+00:00,True,701
60,11737,US,2019-03-07 02:00:00+00:00,False,131
61,16778,US,2019-06-20 03:00:00+00:00,True,107
62,9257,US,2019-01-14 10:00:00+00:00,False,930
63,27594,IT,2019-02-05 17:00:00+00:00,True,9
64,23441,RU,2019-05-10 01:00:00+00:00,False,462
65,44202,TR,2019-01-22 23:00:00+00:00,True,67
66,12920,US,2019-03-31 18:00:00+00:00,True,652
67,25048,RU,2019-06-12 13:00:00+00:00,True,233
68,24689,RU,2019-06-05 01:00:00+00:00,False,334
69,47450,TR,2019-03-31 15:00:00+00:00,True,805
70,42428,GB,2019-06-14 21:00:00+00:00,True,932
71,44533,TR,2019-01-29 20:00:00+00:00,False,258
72,45595,TR,2019-02-20 23:00:00+00:00,False,476
